roll_no,image_id_1,image_id_2,similarity_score
Oscar_DLeon,0002,0001,0.4737543
Carlos_Menem,0004,0002,0.63378125
Carlos_Menem,0004,0001,0.56550765
Carlos_Menem,0004,0003,0.70875424
Carlos_Menem,0002,0001,0.70578456
Carlos_Menem,0002,0003,0.65014297
Carlos_Menem,0001,0003,0.5780184
Alecos_Markides,0001,0002,0.72207475
Qais_al-Kazali,0001,0002,0.53133965
Julie_Goodenough,0001,0002,0.5922968
Bode_Miller,0003,0001,0.6498668
Bode_Miller,0003,0002,0.7459348
Bode_Miller,0003,0004,0.56993586
Bode_Miller,0001,0002,0.63014734
Bode_Miller,0001,0004,0.5183197
Bode_Miller,0002,0004,0.53998286
Jason_Campbell,0003,0002,0.6959553
Jason_Campbell,0003,0004,0.75928736
Jason_Campbell,0003,0001,0.043266237
Jason_Campbell,0002,0004,0.67296064
Jason_Campbell,0002,0001,0.13532752
Jason_Campbell,0004,0001,0.0046420377
Tim_Matheson,0001,0003,0.4181792
Tim_Matheson,0001,0002,0.57188606
Tim_Matheson,0003,0002,0.51888114
Condoleezza_Rice,0001,0003,0.5575844
Condoleezza_Rice,0001,0004,0.5817033
Condoleezza_Rice,0001,0002,0.5618054
Condoleezza_Rice,0003,0004,0.62239754
Condoleezza_Rice,0003,0002,0.6767466
Condoleezza_Rice,0004,0002,0.7104901
Joan_Dangerfield,0004,0003,0.22338453
Joan_Dangerfield,0004,0001,0.21407004
Joan_Dangerfield,0004,0002,0.10466673
Joan_Dangerfield,0003,0001,0.6449023
Joan_Dangerfield,0003,0002,0.55909824
Joan_Dangerfield,0001,0002,0.6010768
Jerome_Golmard,0004,0001,0.5527268
Jerome_Golmard,0004,0002,0.5325346
Jerome_Golmard,0004,0003,0.51195997
Jerome_Golmard,0001,0002,0.59418404
Jerome_Golmard,0001,0003,0.5764159
Jerome_Golmard,0002,0003,0.6069361
John_Mabry,0002,0001,0.51321477
Peri_Gilpin,0001,0003,0.4104097
Peri_Gilpin,0001,0002,0.41296345
Peri_Gilpin,0001,0004,0.41985595
Peri_Gilpin,0003,0002,0.6767354
Peri_Gilpin,0003,0004,0.6551645
Peri_Gilpin,0002,0004,0.73275447
Tatiana_Panova,0004,0003,0.261585
Tatiana_Panova,0004,0002,0.47889513
Tatiana_Panova,0004,0001,0.31967586
Tatiana_Panova,0003,0002,0.43541798
Tatiana_Panova,0003,0001,0.4120838
Tatiana_Panova,0002,0001,0.59563833
Prince_Felipe,0004,0003,0.6881534
Prince_Felipe,0004,0001,0.59391093
Prince_Felipe,0004,0002,0.5808914
Prince_Felipe,0003,0001,0.6595893
Prince_Felipe,0003,0002,0.6546403
Prince_Felipe,0001,0002,0.7495444
Ricky_Ray,0001,0003,0.5656392
Ricky_Ray,0001,0002,0.5720142
Ricky_Ray,0003,0002,0.5738629
Fernando_Sanz,0003,0002,0.7401644
Fernando_Sanz,0003,0001,0.46975985
Fernando_Sanz,0002,0001,0.5949364
Liliana_Cavani,0004,0002,0.54529095
Liliana_Cavani,0004,0003,0.69009686
Liliana_Cavani,0004,0001,0.3734098
Liliana_Cavani,0002,0003,0.6068989
Liliana_Cavani,0002,0001,0.56955105
Liliana_Cavani,0003,0001,0.45019227
John_Cornyn,0001,0002,0.0852559
Javier_Bardem,0004,0001,0.42920315
Javier_Bardem,0004,0003,0.684948
Javier_Bardem,0004,0002,0.57559574
Javier_Bardem,0001,0003,0.49364415
Javier_Bardem,0001,0002,0.50676095
Javier_Bardem,0003,0002,0.66099215
Joan_Collins,0004,0003,0.66321635
Joan_Collins,0004,0002,0.53012866
Joan_Collins,0004,0001,0.3335265
Joan_Collins,0003,0002,0.46569124
Joan_Collins,0003,0001,0.22279522
Joan_Collins,0002,0001,0.5854765
Kent_Rominger,0001,0004,0.55572605
Kent_Rominger,0001,0002,0.8087775
Kent_Rominger,0001,0003,0.5998771
Kent_Rominger,0004,0002,0.6462457
Kent_Rominger,0004,0003,0.672243
Kent_Rominger,0002,0003,0.6870066
Jane_Pauley,0002,0003,0.5935155
Jane_Pauley,0002,0001,0.50785625
Jane_Pauley,0003,0001,0.4375995
Max_Mosley,0003,0001,0.684624
Max_Mosley,0003,0002,0.57573736
Max_Mosley,0001,0002,0.6592796
Steve_Ballmer,0001,0003,0.47761852
Steve_Ballmer,0001,0004,0.47910044
Steve_Ballmer,0001,0002,0.73852825
Steve_Ballmer,0003,0004,0.75294685
Steve_Ballmer,0003,0002,0.5648391
Steve_Ballmer,0004,0002,0.5361549
John_Fenn,0003,0002,0.6865517
John_Fenn,0003,0001,-0.1021336
John_Fenn,0002,0001,-0.093012966
Steve_Alford,0001,0004,0.45411092
Steve_Alford,0001,0003,0.41931397
Steve_Alford,0001,0002,0.5452621
Steve_Alford,0004,0003,0.66125965
Steve_Alford,0004,0002,0.42943045
Steve_Alford,0003,0002,0.501253
Khatol_Mohammad_Zai,0001,0002,0.041349612
Steve_Coogan,0004,0003,0.66577744
Steve_Coogan,0004,0001,0.58393395
Steve_Coogan,0004,0002,0.6805981
Steve_Coogan,0003,0001,0.5081154
Steve_Coogan,0003,0002,0.6890291
Steve_Coogan,0001,0002,0.5143095
Monique_Gagnon-Tremblay,0001,0002,0.09951742
Monique_Gagnon-Tremblay,0001,0003,0.7358815
Monique_Gagnon-Tremblay,0002,0003,0.15100652
Helen_Clark,0004,0003,0.7623961
Helen_Clark,0004,0002,0.5964872
Helen_Clark,0004,0001,0.59113586
Helen_Clark,0003,0002,0.608361
Helen_Clark,0003,0001,0.68766165
Helen_Clark,0002,0001,0.6724785
Andrew_Weissmann,0002,0001,0.65404856
John_Lennon,0003,0002,0.49450928
John_Lennon,0003,0001,0.46327657
John_Lennon,0003,0004,0.6522293
John_Lennon,0002,0001,0.45636314
John_Lennon,0002,0004,0.5246949
John_Lennon,0001,0004,0.46053958
Lance_Bass,0002,0003,0.7276598
Lance_Bass,0002,0004,0.6267061
Lance_Bass,0002,0001,0.6125816
Lance_Bass,0003,0004,0.7236427
Lance_Bass,0003,0001,0.63170457
Lance_Bass,0004,0001,0.5889717
Pio_Laghi,0001,0002,0.55126786
Alvaro_Uribe,0003,0001,0.61283183
Alvaro_Uribe,0003,0002,0.6006464
Alvaro_Uribe,0003,0004,0.72813654
Alvaro_Uribe,0001,0002,0.52406484
Alvaro_Uribe,0001,0004,0.60562384
Alvaro_Uribe,0002,0004,0.6287226
Hitomi_Soga,0002,0003,0.44575256
Hitomi_Soga,0002,0001,0.82233804
Hitomi_Soga,0003,0001,0.48467007
Munir_Akram,0001,0003,0.48549664
Munir_Akram,0001,0002,0.62067986
Munir_Akram,0003,0002,0.6850287
Ronald_Young_Jr,0004,0001,0.09212066
Ronald_Young_Jr,0004,0003,0.6171694
Ronald_Young_Jr,0004,0002,0.2034952
Ronald_Young_Jr,0001,0003,0.059870258
Ronald_Young_Jr,0001,0002,0.11993694
Ronald_Young_Jr,0003,0002,0.10903352
Julianne_Moore,0001,0002,0.5862216
Julianne_Moore,0001,0003,0.5298639
Julianne_Moore,0001,0004,0.45461804
Julianne_Moore,0002,0003,0.57927793
Julianne_Moore,0002,0004,0.5546177
Julianne_Moore,0003,0004,0.63683903
Thad_Matta,0003,0001,0.48185068
Thad_Matta,0003,0002,0.6908681
Thad_Matta,0001,0002,0.4630683
Rachel_Roy,0001,0002,0.6772686
Liza_Minnelli,0001,0003,0.5521176
Liza_Minnelli,0001,0002,0.46871278
Liza_Minnelli,0003,0002,0.66773134
Tony_Shalhoub,0002,0003,0.6340731
Tony_Shalhoub,0002,0001,0.64402175
Tony_Shalhoub,0002,0004,0.75159776
Tony_Shalhoub,0003,0001,0.691573
Tony_Shalhoub,0003,0004,0.67179763
Tony_Shalhoub,0001,0004,0.71916723
Giulietta_Masina,0002,0001,0.41147316
Giulietta_Masina,0002,0003,0.6069592
Giulietta_Masina,0001,0003,0.39354762
Donald_Trump,0001,0004,0.13029884
Donald_Trump,0001,0003,0.11909163
Donald_Trump,0001,0002,0.1804122
Donald_Trump,0004,0003,0.66503954
Donald_Trump,0004,0002,0.45029265
Donald_Trump,0003,0002,0.48828065
David_Wolf,0002,0001,0.68966717
Caio_Blat,0002,0001,0.55997837
Caio_Blat,0002,0004,0.46689454
Caio_Blat,0002,0003,0.50154376
Caio_Blat,0001,0004,0.5352366
Caio_Blat,0001,0003,0.57890064
Caio_Blat,0004,0003,0.54619765
Mikhail_Kasyanov,0001,0002,0.5571486
Javier_Camara,0002,0001,0.73045456
Sasha_Alexander,0001,0002,0.48154673
Scott_Weiland,0003,0001,0.51005816
Scott_Weiland,0003,0002,0.46285826
Scott_Weiland,0003,0004,0.7220384
Scott_Weiland,0001,0002,0.5287317
Scott_Weiland,0001,0004,0.48071253
Scott_Weiland,0002,0004,0.43115246
Bruce_Gebhardt,0002,0001,0.71863437
Steve_Valentine,0001,0003,0.7142936
Steve_Valentine,0001,0004,0.6248362
Steve_Valentine,0001,0002,0.59079623
Steve_Valentine,0003,0004,0.61432743
Steve_Valentine,0003,0002,0.66906375
Steve_Valentine,0004,0002,0.74440813
Vladimir_Golovlyov,0002,0001,0.63622516
Debra_Messing,0003,0001,0.6670753
Debra_Messing,0003,0002,0.6531326
Debra_Messing,0003,0004,0.6140243
Debra_Messing,0001,0002,0.6225836
Debra_Messing,0001,0004,0.6833626
Debra_Messing,0002,0004,0.587466
Matt_Damon,0004,0002,0.69838166
Matt_Damon,0004,0001,0.49826068
Matt_Damon,0004,0003,0.65565705
Matt_Damon,0002,0001,0.63210464
Matt_Damon,0002,0003,0.7480368
Matt_Damon,0001,0003,0.6053533
Joe_Vandever,0002,0001,0.19774687
Roberto_Carlos,0003,0002,0.63133097
Roberto_Carlos,0003,0001,0.6783809
Roberto_Carlos,0003,0004,0.53481334
Roberto_Carlos,0002,0001,0.61844397
Roberto_Carlos,0002,0004,0.611634
Roberto_Carlos,0001,0004,0.57182133
Ahmed_Qureia,0001,0003,0.6844797
Ahmed_Qureia,0001,0002,0.6433685
Ahmed_Qureia,0003,0002,0.61024994
Natasha_Lyonne,0004,0001,0.55165386
Natasha_Lyonne,0004,0002,0.48946407
Natasha_Lyonne,0004,0003,0.85156536
Natasha_Lyonne,0001,0002,0.5959061
Natasha_Lyonne,0001,0003,0.6200209
Natasha_Lyonne,0002,0003,0.56291246
Annie_Machon,0003,0002,0.5494576
Annie_Machon,0003,0001,0.536901
Annie_Machon,0003,0004,0.6514963
Annie_Machon,0002,0001,0.73139143
Annie_Machon,0002,0004,0.53559744
Annie_Machon,0001,0004,0.5423459
Mike_Holmgren,0004,0002,0.6668713
Mike_Holmgren,0004,0003,0.7917326
Mike_Holmgren,0004,0001,0.57714295
Mike_Holmgren,0002,0003,0.5738088
Mike_Holmgren,0002,0001,0.7568258
Mike_Holmgren,0003,0001,0.58852196
Sheila_Taormina,0003,0001,0.5753586
Sheila_Taormina,0003,0002,0.60239875
Sheila_Taormina,0001,0002,0.734434
Alastair_Campbell,0002,0003,0.688095
Alastair_Campbell,0002,0001,0.775192
Alastair_Campbell,0003,0001,0.78385884
Ismail_Merchant,0001,0002,0.71714544
John_Reid,0004,0001,-0.04213046
John_Reid,0004,0003,0.64877045
John_Reid,0004,0002,0.6404625
John_Reid,0001,0003,-0.018733108
John_Reid,0001,0002,-0.038484413
John_Reid,0003,0002,0.60639167
Scott_McClellan,0002,0001,0.5413338
Cathy_Freeman,0004,0003,0.64610416
Cathy_Freeman,0004,0002,0.37030512
Cathy_Freeman,0004,0001,0.17707285
Cathy_Freeman,0003,0002,0.403409
Cathy_Freeman,0003,0001,0.18839699
Cathy_Freeman,0002,0001,0.2591321
John_Allen_Muhammad,0003,0002,0.7344433
John_Allen_Muhammad,0003,0001,0.47388926
John_Allen_Muhammad,0002,0001,0.6285074
Yasein_Taher,0001,0003,0.11072685
Yasein_Taher,0001,0002,0.15688333
Yasein_Taher,0003,0002,0.08057046
Cristian_Barros,0001,0003,0.24171238
Cristian_Barros,0001,0002,0.28215006
Cristian_Barros,0003,0002,0.6889715
Bill_Belichick,0001,0003,0.4034247
Bill_Belichick,0001,0002,0.35229504
Bill_Belichick,0003,0002,0.75329566
Peter_Gilmour,0002,0001,0.57062566
Ion_Tiriac,0001,0003,0.4858402
Ion_Tiriac,0001,0002,0.47943252
Ion_Tiriac,0003,0002,0.58661187
Silvan_Shalom,0002,0001,0.68776774
Laurent_Jalabert,0002,0003,0.5676761
Laurent_Jalabert,0002,0001,0.6754019
Laurent_Jalabert,0002,0004,0.4694953
Laurent_Jalabert,0003,0001,0.7068696
Laurent_Jalabert,0003,0004,0.8694101
Laurent_Jalabert,0001,0004,0.6241143
Melvin_Talbert,0002,0003,0.73187107
Melvin_Talbert,0002,0001,0.6075704
Melvin_Talbert,0003,0001,0.720751
Hutomo_Mandala_Putra,0004,0002,0.5500787
Hutomo_Mandala_Putra,0004,0003,0.75242645
Hutomo_Mandala_Putra,0004,0001,0.35668132
Hutomo_Mandala_Putra,0002,0003,0.5280262
Hutomo_Mandala_Putra,0002,0001,0.34792492
Hutomo_Mandala_Putra,0003,0001,0.31090778
Doug_Wilson,0002,0003,0.7263601
Doug_Wilson,0002,0001,0.697328
Doug_Wilson,0003,0001,0.7492279
Abdel_Nasser_Assidi,0002,0001,0.47134858
Abdel_Nasser_Assidi,0002,0003,0.29276568
Abdel_Nasser_Assidi,0001,0003,0.48051244
David_Wells,0001,0004,0.57142466
David_Wells,0001,0002,0.7673868
David_Wells,0001,0003,0.5911678
David_Wells,0004,0002,0.5470289
David_Wells,0004,0003,0.79667795
David_Wells,0002,0003,0.56941545
Courtney_Love,0003,0002,0.5758151
Courtney_Love,0003,0004,0.62145454
Courtney_Love,0003,0001,0.42670155
Courtney_Love,0002,0004,0.58118355
Courtney_Love,0002,0001,0.43664947
Courtney_Love,0004,0001,0.46864405
Sargis_Sargsian,0001,0002,0.5045042
Mario_Kreutzberger,0004,0003,0.7375709
Mario_Kreutzberger,0004,0001,0.68232095
Mario_Kreutzberger,0004,0002,0.6644002
Mario_Kreutzberger,0003,0001,0.71190894
Mario_Kreutzberger,0003,0002,0.73306096
Mario_Kreutzberger,0001,0002,0.7482993
John_McCain,0002,0004,0.41539276
John_McCain,0002,0001,0.575887
John_McCain,0002,0003,0.39853713
John_McCain,0004,0001,0.3956659
John_McCain,0004,0003,0.72056973
John_McCain,0001,0003,0.39498627
Paula_Zahn,0001,0003,0.55513227
Paula_Zahn,0001,0004,0.5103917
Paula_Zahn,0001,0002,0.6342963
Paula_Zahn,0003,0004,0.6150849
Paula_Zahn,0003,0002,0.5770054
Paula_Zahn,0004,0002,0.57292515
Gary_Forsee,0003,0002,0.6881562
Gary_Forsee,0003,0001,0.6962506
Gary_Forsee,0002,0001,0.69231045
Corinna_Harfouch,0003,0002,0.5472983
Corinna_Harfouch,0003,0001,0.6427603
Corinna_Harfouch,0003,0004,0.55590844
Corinna_Harfouch,0002,0001,0.6762322
Corinna_Harfouch,0002,0004,0.5415566
Corinna_Harfouch,0001,0004,0.5610805
Gloria_Macapagal_Arroyo,0002,0001,0.6658666
Gloria_Macapagal_Arroyo,0002,0003,0.64061123
Gloria_Macapagal_Arroyo,0001,0003,0.6294975
Bill_Fennelly,0001,0002,0.6551752
Bill_Fennelly,0001,0004,0.5963261
Bill_Fennelly,0001,0003,0.68020475
Bill_Fennelly,0002,0004,0.6276113
Bill_Fennelly,0002,0003,0.7422254
Bill_Fennelly,0004,0003,0.799641
Juan_Ignacio_Chela,0001,0003,0.30356565
Juan_Ignacio_Chela,0001,0004,0.5298327
Juan_Ignacio_Chela,0001,0002,0.4553566
Juan_Ignacio_Chela,0003,0004,0.4255033
Juan_Ignacio_Chela,0003,0002,0.616465
Juan_Ignacio_Chela,0004,0002,0.5272932
Saadi_Gadhafi,0003,0002,0.7106606
Saadi_Gadhafi,0003,0001,0.6213129
Saadi_Gadhafi,0002,0001,0.740721
George_Tenet,0001,0003,0.5968816
George_Tenet,0001,0002,0.62463987
George_Tenet,0003,0002,0.7303703
Vagit_Alekperov,0002,0004,0.72539854
Vagit_Alekperov,0002,0003,0.7175939
Vagit_Alekperov,0002,0001,0.70197535
Vagit_Alekperov,0004,0003,0.7494945
Vagit_Alekperov,0004,0001,0.6751825
Vagit_Alekperov,0003,0001,0.6172142
Ronald_Reagan,0001,0002,0.5169794
Ronald_Reagan,0001,0003,0.5482049
Ronald_Reagan,0001,0004,0.5145714
Ronald_Reagan,0002,0003,0.5568268
Ronald_Reagan,0002,0004,0.50597537
Ronald_Reagan,0003,0004,0.7633766
Natasha_Henstridge,0002,0001,0.6200896
Joseph_Blatter,0004,0003,0.7047906
Joseph_Blatter,0004,0001,0.5973747
Joseph_Blatter,0004,0002,0.7103118
Joseph_Blatter,0003,0001,0.41103485
Joseph_Blatter,0003,0002,0.67097354
Joseph_Blatter,0001,0002,0.51354706
Nick_Reilly,0001,0003,0.74552697
Nick_Reilly,0001,0002,0.72729754
Nick_Reilly,0003,0002,0.69528526
Don_Lake,0002,0003,0.6776268
Don_Lake,0002,0001,0.5888325
Don_Lake,0003,0001,0.5171335
Dexter_Jackson,0003,0001,0.7163061
Dexter_Jackson,0003,0002,0.70317936
Dexter_Jackson,0001,0002,0.66558224
Christine_Baumgartner,0002,0001,0.5965035
Christine_Baumgartner,0002,0003,0.60951835
Christine_Baumgartner,0001,0003,0.54308033
Dino_Risi,0003,0002,0.7604172
Dino_Risi,0003,0001,0.5595629
Dino_Risi,0002,0001,0.5011563
Rafael_Ramirez,0002,0001,0.6397313
Billy_Crawford,0002,0001,0.66315174
Branko_Crvenkovski,0003,0002,0.5679432
Branko_Crvenkovski,0003,0001,0.42214707
Branko_Crvenkovski,0003,0004,0.75588566
Branko_Crvenkovski,0002,0001,0.4428087
Branko_Crvenkovski,0002,0004,0.5754397
Branko_Crvenkovski,0001,0004,0.41437888
Hank_Stram,0002,0001,0.58454156
Scott_Peterson,0002,0001,0.5158315
Wayne_Brady,0002,0003,0.8444164
Wayne_Brady,0002,0001,0.77576214
Wayne_Brady,0002,0004,0.7704964
Wayne_Brady,0003,0001,0.76444566
Wayne_Brady,0003,0004,0.70743024
Wayne_Brady,0001,0004,0.6534897
Hamad_Bin_Jassim,0004,0002,0.68003297
Hamad_Bin_Jassim,0004,0001,0.3053012
Hamad_Bin_Jassim,0004,0003,0.81462693
Hamad_Bin_Jassim,0002,0001,0.3034309
Hamad_Bin_Jassim,0002,0003,0.6139696
Hamad_Bin_Jassim,0001,0003,0.23605177
Steven_Craig,0001,0002,0.059391916
Jeffrey_Jones,0002,0001,0.72284156
Jeffrey_Jones,0002,0003,0.5931734
Jeffrey_Jones,0001,0003,0.50167584
Michael_Piuze,0001,0002,0.6034615
Kelly_Osbourne,0003,0002,0.4717911
Kelly_Osbourne,0003,0001,0.72976947
Kelly_Osbourne,0002,0001,0.54221857
Julio_Rossi,0002,0001,0.5061567
Julio_Rossi,0002,0004,0.585689
Julio_Rossi,0002,0003,0.5562756
Julio_Rossi,0001,0004,0.65063566
Julio_Rossi,0001,0003,0.6164336
Julio_Rossi,0004,0003,0.6147763
Chandrika_Kumaratunga,0001,0002,0.6349494
Gerry_Kelly,0003,0001,0.36167246
Gerry_Kelly,0003,0002,0.60317695
Gerry_Kelly,0003,0004,0.7851782
Gerry_Kelly,0001,0002,0.4355471
Gerry_Kelly,0001,0004,0.40442455
Gerry_Kelly,0002,0004,0.67055655
Conchita_Martinez,0002,0001,0.6324196
Conchita_Martinez,0002,0004,0.49594045
Conchita_Martinez,0002,0003,0.4182957
Conchita_Martinez,0001,0004,0.5751127
Conchita_Martinez,0001,0003,0.53676903
Conchita_Martinez,0004,0003,0.65042865
Rosie_Perez,0001,0002,0.5911003
Rosie_Perez,0001,0003,0.41191697
Rosie_Perez,0001,0004,0.52906054
Rosie_Perez,0002,0003,0.7185565
Rosie_Perez,0002,0004,0.7587137
Rosie_Perez,0003,0004,0.7145696
Kristin_Chenoweth,0002,0003,0.5945276
Kristin_Chenoweth,0002,0004,0.4518622
