roll_no_1,image_id_1,roll_no_2,image_id_2,similarity_score
Oscar_DLeon,0002,Wayne_Gretzky,0002,0.045421064
Carlos_Menem,0004,Pete_Sampras,0004,0.028400224
Alecos_Markides,0001,Chang_Dae-whan,0001,0.00703975
Qais_al-Kazali,0001,Dan_Morales,0001,-0.049491268
Julie_Goodenough,0001,Elodie_Bouchez,0002,0.012400692
Bode_Miller,0003,Floyd_Keith,0001,-0.0024185628
Jason_Campbell,0003,Jamie_Lee_Curtis,0001,-0.13583732
Tim_Matheson,0001,Robert_Wagner,0002,-0.011238355
Condoleezza_Rice,0001,Akbar_Hashemi_Rafsanjani,0002,0.014758323
Joan_Dangerfield,0004,Elva_Hsiao,0001,-0.0136907995
Jerome_Golmard,0004,Martha_Sahagun_de_Fox,0004,-0.03534345
John_Mabry,0002,Nick_Reilly,0003,-0.023217328
Peri_Gilpin,0001,Peter_Goldmark,0001,-0.030215714
Tatiana_Panova,0004,Peter_Arnett,0003,-0.06490652
Prince_Felipe,0004,Ralf_Schumacher,0003,-0.09799887
Ricky_Ray,0001,Dominique_Perben,0002,0.021821164
Fernando_Sanz,0003,Steven_Curtis_Chapman,0002,0.027944623
Liliana_Cavani,0004,Liza_Minnelli,0002,0.039472304
John_Cornyn,0001,Tim_Duncan,0003,0.017458128
Javier_Bardem,0004,Jim_Flaherty,0003,0.025248274
Joan_Collins,0004,Barbara_Bach,0001,0.19676241
Kent_Rominger,0001,Ivan_Shvedoff,0003,-0.0041663665
Jane_Pauley,0002,Jonathan_Mostow,0002,-0.055121604
Max_Mosley,0003,Jacob_Frenkel,0002,0.07373001
Steve_Ballmer,0001,Rupert_Murdoch,0001,0.022725327
John_Fenn,0003,Richard_Gephardt,0001,-0.015905462
Steve_Alford,0001,Rachel_Kempson,0002,-0.039444096
Khatol_Mohammad_Zai,0001,Brad_Johnson,0001,-0.017554186
Steve_Coogan,0004,Gordon_Brown,0002,0.18404964
Monique_Gagnon-Tremblay,0001,Kevin_Hearn,0002,0.10890989
Helen_Clark,0004,Vin_Diesel,0001,0.05540421
Andrew_Weissmann,0002,Dustin_Hoffman,0003,0.02120939
John_Lennon,0003,Sigourney_Weaver,0002,0.0691811
Lance_Bass,0002,Peter_Medgyessy,0001,0.07438275
Pio_Laghi,0001,Mikhail_Gorbachev,0001,0.1081133
Alvaro_Uribe,0003,Britney_Spears,0004,-0.092291385
Hitomi_Soga,0002,Khatol_Mohammad_Zai,0002,0.03204612
Munir_Akram,0001,Stella_McCartney,0003,0.072993055
Ronald_Young_Jr,0004,Freddy_Garcia,0003,0.0052283313
Julianne_Moore,0001,Vincent_Sombrotto,0002,0.0045704497
Thad_Matta,0003,Paula_Dobriansky,0001,0.05816932
Rachel_Roy,0001,Robbie_Naish,0002,-0.012533151
Liza_Minnelli,0001,Paul_Clark,0002,0.048730258
Tony_Shalhoub,0002,Javier_Solana,0002,0.14329514
Giulietta_Masina,0002,John_Mayer,0001,0.0036814231
Donald_Trump,0001,Trisha_Meili,0001,-0.012263352
David_Wolf,0002,Liv_Tyler,0001,0.04570266
Caio_Blat,0002,Mary_Descenza,0002,0.11362627
Mikhail_Kasyanov,0001,San_Lan,0002,-0.030084668
Javier_Camara,0002,Ariel_Sharon,0001,-0.042957913
Sasha_Alexander,0001,Petro_Symonenko,0001,0.010630469
Scott_Weiland,0003,Julio_Toro,0001,0.021060504
Bruce_Gebhardt,0002,Anthony_Ervin,0001,-0.06353529
Steve_Valentine,0001,Jacques_Chirac,0003,0.005460646
Vladimir_Golovlyov,0002,Rick_Rickert,0001,0.029596446
Debra_Messing,0003,Henry_Hyde,0002,-0.029266397
Matt_Damon,0004,Chris_Cooper,0001,-0.02669187
Joe_Vandever,0002,Thomas_Van_Essen,0002,0.011500604
Roberto_Carlos,0003,Ernesto_Zedillo,0002,0.043107495
Ahmed_Qureia,0001,Angie_Martinez,0003,-0.016207615
Natasha_Lyonne,0004,Donald_Anderson,0001,0.10801738
Annie_Machon,0003,Brian_Cowen,0003,0.006118756
Mike_Holmgren,0004,Sonya_Walger,0004,0.03431209
Sheila_Taormina,0003,Diana_Krall,0002,-0.05180352
Alastair_Campbell,0002,Darla_Moore,0002,0.031603225
Ismail_Merchant,0001,Jamir_Miller,0002,0.09699177
John_Reid,0004,Herbie_Hancock,0001,0.06075642
Scott_McClellan,0002,Rhett_Warrener,0004,0.067075446
Cathy_Freeman,0004,Michael_Kors,0001,-0.05454824
John_Allen_Muhammad,0003,Dominique_Perben,0003,0.031313233
Yasein_Taher,0001,Scott_Rolen,0002,-0.0018467037
Cristian_Barros,0001,Graeme_Lloyd,0003,-0.011335586
Bill_Belichick,0001,Martin_ONeill,0002,0.025734492
Peter_Gilmour,0002,Michael_Boyce,0002,0.010591699
Ion_Tiriac,0001,Ataollah_Mohajerani,0002,0.082991555
Silvan_Shalom,0002,Pervez_Musharraf,0002,-0.09685012
Laurent_Jalabert,0002,Justin_Gatlin,0002,0.09452881
Melvin_Talbert,0002,Jerry_Springer,0002,0.05792153
Hutomo_Mandala_Putra,0004,Alyson_Hannigan,0004,0.09548141
Doug_Wilson,0002,Abdel_Aziz_Al-Hakim,0002,-0.1025432
Abdel_Nasser_Assidi,0002,Anne_Donovan,0003,0.009533514
David_Wells,0001,Dominick_Dunne,0001,-0.023050502
Courtney_Love,0003,Enrique_Bolanos,0002,-0.030343998
Sargis_Sargsian,0001,Jens_Lehmann,0004,-0.025677131
Mario_Kreutzberger,0004,Bryan_Adams,0001,-0.026631594
John_McCain,0002,Evan_Marriott,0004,0.08134371
Paula_Zahn,0001,John_Kerry,0003,0.049638458
Gary_Forsee,0003,Gary_Stevens,0003,0.0020331405
Corinna_Harfouch,0003,Bruce_Arena,0003,0.004169112
Gloria_Macapagal_Arroyo,0002,Enrica_Fico,0003,-0.030254686
Bill_Fennelly,0001,Monica_Vergara,0002,0.0623732
Juan_Ignacio_Chela,0001,Annie_Machon,0003,0.14147422
Saadi_Gadhafi,0003,Sean_Townsend,0001,0.09297958
George_Tenet,0001,Peter_Lundgren,0002,0.07284493
Vagit_Alekperov,0002,Khalid_Khannouchi,0001,-0.05825246
Ronald_Reagan,0001,Danny_Morgan,0001,0.07001837
Natasha_Henstridge,0002,Adolfo_Rodriguez_Saa,0004,-0.09882325
Joseph_Blatter,0004,Bettina_Rheims,0002,0.062083803
Nick_Reilly,0001,Peter_Arnett,0002,0.01156962
Don_Lake,0002,Joan_Jett,0004,-0.064447775
Dexter_Jackson,0003,Kurt_Warner,0002,-0.114289716
Christine_Baumgartner,0002,Valentina_Tereshkova,0003,-0.08661333
Dino_Risi,0003,Peter_Mansbridge,0002,-0.068316504
Rafael_Ramirez,0002,Chuck_Woolery,0004,0.053173397
Billy_Crawford,0002,Stephane_Delajoux,0002,0.08218917
Branko_Crvenkovski,0003,Albert_Costa,0001,0.023941146
Hank_Stram,0002,Guillermo_Coria,0003,0.034232013
Scott_Peterson,0002,Holly_Robinson_Peete,0001,0.035694033
Wayne_Brady,0002,Oscar_De_La_Hoya,0002,0.05494485
Hamad_Bin_Jassim,0004,Angela_Alvarado_Rosa,0004,0.027929123
Steven_Craig,0001,Darren_Campel,0001,-0.040948953
Jeffrey_Jones,0002,Tessa_Jowell,0001,0.12339621
Michael_Piuze,0001,Dave_Williams,0002,0.10725336
Kelly_Osbourne,0003,Kenny_Chesney,0002,-0.028956417
Julio_Rossi,0002,Theresa_May,0003,0.017120264
Chandrika_Kumaratunga,0001,Natasha_Henstridge,0001,-0.12476521
Gerry_Kelly,0003,Richard_Crenna,0003,-0.13239655
Conchita_Martinez,0002,Bo_Pelini,0002,0.014097717
Juan_Ignacio_Chela,0003,Missy_Crider,0002,0.060676508
Rosie_Perez,0001,James_Gibson,0004,0.041298613
Kristin_Chenoweth,0002,Normand_Legault,0002,0.03273459
Hector_Babenco,0003,Bill_Mauldin,0003,0.001139963
Corinna_Harfouch,0002,Bill_Fennelly,0002,0.032978658
Jennifer_Gratz,0001,Halle_Berry,0001,0.027363729
Chris_Moore,0001,Yann_Martel,0001,0.0223662
Steve_Zahn,0003,Judith_Nathan,0001,0.022496428
